sku,img,title,price,price_sale,cat,desc
,/fileadmin/_processed_/csm_21002055_0a12952a8a.jpg,"Regal ENTER"," 66.653,00 RSD ",,,"Dimenzije dela za TV ~1200x900mm (širina x visina)."
,/fileadmin/_processed_/csm_21018749_1dfd908f66.jpg,"Klizni garderober RONDINO (RDNS127E1-T30)"," 66.653,00 RSD ",,," Preporučujemo  Police za garderober (WNND92 A06 3 kom). "
,/fileadmin/_processed_/csm_21015996_b958d3df89.jpg,"Četvorosed SOFY"," 66.653,00 RSD ",,," Sunđer. "
,/fileadmin/_processed_/csm_21022680_fc6da49bac.jpg,"Trosed PREMIER"," 66.653,00 RSD ",,," Sunđer. Gurtna. Rotiranje naslona. "
,/fileadmin/_processed_/csm_21025397_e882239614.jpg,"Dušek LAVANDER 160x200"," 67.987,00 RSD ",,,"Dušek LAVANDER 160x200 namenjen je opremanju spavaće sobe i kompatibilan je sa modelima kreveta dimenzija 160x200 cm."
,/fileadmin/_processed_/csm_21022580_1b4b114ce6.jpg,"Trosed TARA LUX/R"," 69.320,00 RSD ",,," Sunđer. Latoflex mehanizam. Gurtne u naslonu. "
,/fileadmin/_processed_/csm_21027610_64b56e12a5.jpg,"Francuski ležaj FLY"," 70.653,00 RSD ",,," Sunđer. Žičano jezgro. Leptir mehanizam. Dve kutije za posteljinu. "
,/fileadmin/_processed_/csm_21021562_9f0d5448a1.jpg,"Ležaj MONZA"," 70.653,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21025969_6459578abd.jpg,"Ležaj COMO"," 71.987,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21026179_9c530e6118.jpg,"Regal STONE"," 74.653,00 RSD ",,,"*Napomena: cena je sa rasvetom."
,/fileadmin/_processed_/csm_21027482_023048f4ea.jpg,"Trosed HAVANA"," 74.653,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21018308_dc9ee8ded8.jpg,"Krevet RONDINO (RDNL161B-T30) sa rasvetom"," 74.653,00 RSD ",,,"*Napomena: cene je sa rasvetom, a bez poda i dušeka."
,/fileadmin/_processed_/csm_21017369_2591833aa0.jpg,"Ležaj IN NEW"," 79.986,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21015999_a9de32c018.jpg,"Trosed SOFY/R"," 79.986,00 RSD ",,," Sunđer. Latoflex mehanizam. "
,/fileadmin/_processed_/csm_21026500_bfcf1ff433.jpg,"Ugaona garnitura ANA"," 79.987,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. Univerzalni ugao. Police u rukonaslonu. "
,/fileadmin/_processed_/csm_21026857_68d56dcf88.jpg,"Francuski ležaj LOTO"," 83.987,00 RSD ",,," Žičano jezgro i sunđer. "
,/fileadmin/_processed_/csm_21026376_49a02abbce.jpg,"Ugaona garnitura RIO"," 83.987,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21029840_677ec25273.jpg,"Ugaona garnitura KATARINA"," 84.787,00 RSD ",,," Žičano jezgro. "
,/fileadmin/_processed_/csm_21029722_8e76d63371.jpg,"Ugaona garnitura MONZA"," 85.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21027423_355fa071b5.jpg,"Ugaona garnitura ELENA"," 85.320,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. "
,/fileadmin/_processed_/csm_21023135_bdaee885a0.jpg,"Ugaona garnitura MONA"," 87.986,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. Univerzalni ugao. "
,/fileadmin/_processed_/csm_21024976_5e4229fc07.jpg,"Ugaona garnitura COMO"," 87.987,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. Univerzalni ugao. "
,/fileadmin/_processed_/csm_21029614_bbdee477b0.jpg,"Ugaona garnitura CALIFORNIA"," 87.986,00 RSD ",,,"Tačan naziv dezena je: rukonaslon/sedište/naslon i veliki jastuci štof siva Mozart 95 Elephant, mali jastuci štof bež Mozart 90 Lt. Grey, ugao desno. Ugaona garnitura CALIFORNIA je komforno rešenje za opremanje dnevne sobe i zadovoljava potrebe mnogočlanih porodica za prostorom i udobnošću. Klik klak mehanizmom se lako pretvara u ležaj za spavanje dimenzija 120x240 cm. Još jedan od važnih benefita su dve kutije za odlaganje posteljine."
,/fileadmin/_processed_/csm_21013451_7210e8a20a.jpg,"Trosed ČESTER"," 90.013,00 RSD ",,," Latoflex mehanizam. Sunđer. "
,/fileadmin/_processed_/csm_21029723_b82c3fc2f8.jpg,"Ugaona garnitura IN NEW"," 93.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
